title,author,department,keywords,retrieve_date,abstract,published_date,url
人工智能的发展与青年人格的时代建构,涂良川,华南师范大学马克思主义学院,人工智能|青年|存在论升级|人格|智能时代,2023-03-26 08:30:26,人工智能以高阶自动化的逻辑承继、发展和超越了机器自动化的逻辑，以其能力之强、影响之广、变革之深定义了时代、变革了存在。智能时代的青年在与人工智能技术逻辑、运行逻辑和存在逻辑的遭遇中，是被其支配从而担忧奇点来临的存在论难题，还是从理解时代、把握存在和生成自我中应对人工智能的存在论升级，是青年人格的时代建构需要回答的根本问题。人工智能的发展改变了存在的境域，人工智能的展开重新定义了关系的存在，人工智能的主体要求了社会主体的生成。因此，从人工智能本质及其与青年的社会历史关系出发来形成青年理解时代的核心观念、理论思维和思想认识，既是青年人能够正确应对人工智能技术的存在论升级，又是生成健康人格的前提性工作。,2023-02-08,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=2&CurRec=1&recid=&FileName=QLTS202301003&DbName=CJFDLAST2023&DbCode=CJFD&yx=&pr=&URLID=
论人工智能营销市场分析的战略框架,吴沁玥,天津理工大学,人工智能|营销市场|战略框架,2023-03-26 08:30:44,文章探究了战略营销计划框架，结合了多元人工智能的好处：机械人工智能用于实现重复营销功能和活动的自动化，思维人工智能用于处理数据以达成决策，感受人工智能用于分析交互人类情绪。该框架阐述了人工智能可以用于市场营销研究。在营销调研阶段，机械人工智能可用于细分识别，思维人工智能定位，感觉定位。在营销行动阶段，机械人工智能可以用于标准化，思维人工智能的个性化，并感知人工智能的关系化。在市场营销思维阶段，机械人工智能可以用于数据收集，思维人工智能用于市场分析，感受人工智能用于客户理解。将这个框架应用于市场营销的各个领域，由市场营销行动组织，以说明人工智能的战略应用。,2023-01-28,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=2&CurRec=3&recid=&FileName=SCZG202303035&DbName=CJFDLAST2023&DbCode=CJFD&yx=&pr=CJFY2023;&URLID=
人工智能对消费升级的影响效果及作用机制分析,蒋玉芳,韩国又石大学,人工智能|消费升级|面板分位数|异质性影响,2023-03-26 08:31:00,消费升级作为全面扩大内需的必由之路，随着人工智能技术的发展及应用逐渐焕发出新的活力。本文基于2007-2020年间我国30个省市区的面板数据，通过面板固定效应模型、面板分位数模型探讨人工智能对消费升级的影响效果和作用机制。结果表明：第一，在样本期间内，人工智能对消费升级具有正向推动作用。第二，人工智能发展水平越高，其对消费升级的促进作用也就越明显。该研究结论为“十四五”时期人工智能发展战略的制定及消费结构转型升级提供了重要的理论启示。,2023-01-25,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=2&CurRec=5&recid=&FileName=SYJJ202302011&DbName=CJFDLAST2023&DbCode=CJFD&yx=&pr=&URLID=
人工智能对消费升级的影响效果及作用机制分析,吕绪洁,菏泽学院商学院,人工智能|消费升级|面板分位数|异质性影响,2023-03-26 08:31:00,消费升级作为全面扩大内需的必由之路，随着人工智能技术的发展及应用逐渐焕发出新的活力。本文基于2007-2020年间我国30个省市区的面板数据，通过面板固定效应模型、面板分位数模型探讨人工智能对消费升级的影响效果和作用机制。结果表明：第一，在样本期间内，人工智能对消费升级具有正向推动作用。第二，人工智能发展水平越高，其对消费升级的促进作用也就越明显。该研究结论为“十四五”时期人工智能发展战略的制定及消费结构转型升级提供了重要的理论启示。,2023-01-25,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=2&CurRec=5&recid=&FileName=SYJJ202302011&DbName=CJFDLAST2023&DbCode=CJFD&yx=&pr=&URLID=
中国人工智能产业科技创新能力测度及趋势演进,李旭辉,安徽财经大学管理科学与工程学院,人工智能产业|科技创新能力|趋势演进|综合测度|三大经济圈,2023-03-26 08:31:16,基于2009—2018年省域面板数据，运用G1-CRITIC组合赋权方法测度中国三大经济圈人工智能产业科技创新能力，并采用Kernel密度估计、空间Markov链分析方法从时空维度考察三大经济圈人工智能产业科技创新能力分布动态和长期演进趋势。研究发现：(1)三大经济圈人工智能产业科技创新能力呈上升态势，但其梯度特征明显，长三角经济圈人工智能产业科技创新能力处于绝对领先地位，泛珠三角与环渤海经济圈处于较低水平；(2)三大经济圈人工智能产业科技创新能力“极化效应”加剧，长三角、泛珠三角及环渤海经济圈均存在多极分化趋势，且呈现明显层级结构，空间集聚效应显著；(3)由于经济圈内部省份之间的空间交互影响和正向溢出效应，人工智能产业科技创新能力的“俱乐部趋同”现象和“马太效应”有所缓解，且趋同过程不独立，空间溢出效应的异质性持续存在。,2023-01-20,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=2&CurRec=7&recid=&FileName=KYGL202301001&DbName=CJFDLAST2023&DbCode=CJFD&yx=&pr=&URLID=
中国人工智能产业科技创新能力测度及趋势演进,杨梦成,安徽财经大学管理科学与工程学院,人工智能产业|科技创新能力|趋势演进|综合测度|三大经济圈,2023-03-26 08:31:16,基于2009—2018年省域面板数据，运用G1-CRITIC组合赋权方法测度中国三大经济圈人工智能产业科技创新能力，并采用Kernel密度估计、空间Markov链分析方法从时空维度考察三大经济圈人工智能产业科技创新能力分布动态和长期演进趋势。研究发现：(1)三大经济圈人工智能产业科技创新能力呈上升态势，但其梯度特征明显，长三角经济圈人工智能产业科技创新能力处于绝对领先地位，泛珠三角与环渤海经济圈处于较低水平；(2)三大经济圈人工智能产业科技创新能力“极化效应”加剧，长三角、泛珠三角及环渤海经济圈均存在多极分化趋势，且呈现明显层级结构，空间集聚效应显著；(3)由于经济圈内部省份之间的空间交互影响和正向溢出效应，人工智能产业科技创新能力的“俱乐部趋同”现象和“马太效应”有所缓解，且趋同过程不独立，空间溢出效应的异质性持续存在。,2023-01-20,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=2&CurRec=7&recid=&FileName=KYGL202301001&DbName=CJFDLAST2023&DbCode=CJFD&yx=&pr=&URLID=
中国人工智能产业科技创新能力测度及趋势演进,严晗,上海交通大学安泰经济与管理学院,人工智能产业|科技创新能力|趋势演进|综合测度|三大经济圈,2023-03-26 08:31:16,基于2009—2018年省域面板数据，运用G1-CRITIC组合赋权方法测度中国三大经济圈人工智能产业科技创新能力，并采用Kernel密度估计、空间Markov链分析方法从时空维度考察三大经济圈人工智能产业科技创新能力分布动态和长期演进趋势。研究发现：(1)三大经济圈人工智能产业科技创新能力呈上升态势，但其梯度特征明显，长三角经济圈人工智能产业科技创新能力处于绝对领先地位，泛珠三角与环渤海经济圈处于较低水平；(2)三大经济圈人工智能产业科技创新能力“极化效应”加剧，长三角、泛珠三角及环渤海经济圈均存在多极分化趋势，且呈现明显层级结构，空间集聚效应显著；(3)由于经济圈内部省份之间的空间交互影响和正向溢出效应，人工智能产业科技创新能力的“俱乐部趋同”现象和“马太效应”有所缓解，且趋同过程不独立，空间溢出效应的异质性持续存在。,2023-01-20,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=2&CurRec=7&recid=&FileName=KYGL202301001&DbName=CJFDLAST2023&DbCode=CJFD&yx=&pr=&URLID=
中国人工智能产业科技创新能力测度及趋势演进,郭术周,科大讯飞股份有限公司,人工智能产业|科技创新能力|趋势演进|综合测度|三大经济圈,2023-03-26 08:31:16,基于2009—2018年省域面板数据，运用G1-CRITIC组合赋权方法测度中国三大经济圈人工智能产业科技创新能力，并采用Kernel密度估计、空间Markov链分析方法从时空维度考察三大经济圈人工智能产业科技创新能力分布动态和长期演进趋势。研究发现：(1)三大经济圈人工智能产业科技创新能力呈上升态势，但其梯度特征明显，长三角经济圈人工智能产业科技创新能力处于绝对领先地位，泛珠三角与环渤海经济圈处于较低水平；(2)三大经济圈人工智能产业科技创新能力“极化效应”加剧，长三角、泛珠三角及环渤海经济圈均存在多极分化趋势，且呈现明显层级结构，空间集聚效应显著；(3)由于经济圈内部省份之间的空间交互影响和正向溢出效应，人工智能产业科技创新能力的“俱乐部趋同”现象和“马太效应”有所缓解，且趋同过程不独立，空间溢出效应的异质性持续存在。,2023-01-20,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=2&CurRec=7&recid=&FileName=KYGL202301001&DbName=CJFDLAST2023&DbCode=CJFD&yx=&pr=&URLID=
全球视角下中国人工智能研究可视化分析,赖红波,上海理工大学管理学院,人工智能|科学知识图谱|可视化分析|中国人工智能发展,2023-03-26 08:31:33,人工智能已经成为下一轮工业革命的核心内容，各国争先对其进行部署和发展。为了更好地了解我国人工智能领域的现状和发展，本文基于知识图谱的研究方法，以Web of Science和CNKI中人工智能相关文献作为样本数据，运用CiteSpace软件，通过双图叠加分析、共词分析和突现词分析等功能，从全球的视角对我国人工智能研究近十年来的发展面貌、特点和演化历程做出了可视化的分析。研究发现：人工智能的研究已经呈现出了多学科和学科融合发展的态势；我国在人工智能领域的发展已经取得成果，但距离顶尖还有差距；我国对人工智能应用的研究更为丰富，这与我国的丰富的数据资源和应用场景有关；未来我们应更注重人才的培养，对基础技术的长期支持和投入，同时期待人工智能技术能够带来更为深刻的变革。,2023-01-20,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=2&CurRec=9&recid=&FileName=KYGL202301002&DbName=CJFDLAST2023&DbCode=CJFD&yx=&pr=&URLID=
全球视角下中国人工智能研究可视化分析,赵逸维,上海理工大学管理学院,人工智能|科学知识图谱|可视化分析|中国人工智能发展,2023-03-26 08:31:33,人工智能已经成为下一轮工业革命的核心内容，各国争先对其进行部署和发展。为了更好地了解我国人工智能领域的现状和发展，本文基于知识图谱的研究方法，以Web of Science和CNKI中人工智能相关文献作为样本数据，运用CiteSpace软件，通过双图叠加分析、共词分析和突现词分析等功能，从全球的视角对我国人工智能研究近十年来的发展面貌、特点和演化历程做出了可视化的分析。研究发现：人工智能的研究已经呈现出了多学科和学科融合发展的态势；我国在人工智能领域的发展已经取得成果，但距离顶尖还有差距；我国对人工智能应用的研究更为丰富，这与我国的丰富的数据资源和应用场景有关；未来我们应更注重人才的培养，对基础技术的长期支持和投入，同时期待人工智能技术能够带来更为深刻的变革。,2023-01-20,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=2&CurRec=9&recid=&FileName=KYGL202301002&DbName=CJFDLAST2023&DbCode=CJFD&yx=&pr=&URLID=
