title,author,department,keywords,retrieve_date,abstract,published_date,url
乐凯医疗：数字医疗成像系统 疫情防控的“火眼金睛”,张艳忠,乐凯医疗科技有限公司,,2023-03-31 08:29:34,"<正>新冠肺炎疫情在武汉爆发及向全国蔓延初期,核酸检测结果呈阳性是判定确诊的金标准,但是据一线医院检验科室反映,核酸检测中也出现了一些不确定的相关因素:一是部分患者短期内感染新型冠状病毒(COVID-19)后,可能暂未形成抗体,或者由于个体差异,部分人对核酸反应不敏感,检测结果可能会出现假阴性;二是核酸检测试验盒是否达到100%的敏感度尚有待确定;三是不同检测人员对咽拭子的标本采取操作存在差别,导致咽部",2020-04-15,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=0&CurRec=3&recid=&FileName=HTJM202004016&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=
基于微波成像技术的医疗服务原型系统设计与实现,白一帆,南京邮电大学,控制系统|三维重建|量化分析|信息共享,2023-03-31 08:29:51,"三维重建和斑块量化分析系统是利用三维重建可视化技术,在手术诊断时帮助医生或专家分析血管内斑块形状和性质的软件。随着医疗服务体系的发展,医学成像处理、图像三维重建和信息资源共享等功能已经无法满足现代医学的要求和标准。具体表现在三个方面:一是成像设备使用前不具备自检功能,无法保障设备诊断数据的可靠性;二是传统成像设备采集的图像分辨率低,以及仅通过分析二维图像无法满足对斑块量化分析的需求;三是设备资源利用率低,无法合理安排患者、专家和设备的统一预约工作。本文采用基于RS232串口通信开发的控制系统和LabVIEW开发的上位机软件抽样检测设备采集到的微波数据,增强原始数据的可靠性。采用血管内步进扫描成像技术得到的断层扫描图像为源数据,对每一幅断层扫描图像进行极坐标的变换,并增加断层扫描图像的像素密度,提高图像分辨率。通过改进Marching Cubes三维重建方法,对目标对象表面梯度进行灰度差分计算,提高三维重建精度。同时,在基于VC++文档开发的三维重建系统中引入斑块量化分析方法,随机均匀采样统计断层扫描图像中血管壁、管腔以及外部无效区域的灰度值个数,分析每一幅断层扫描图像的阻塞程度,满足对...",2017-10-26,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=0&CurRec=5&FileName=1017859917.nh&DbName=CMFD201801&DbCode=CMFD
采用ADI 20位DAC设计医疗成像系统,JanHeinBroeders,ADI公司,医疗成像系统|磁共振成像|AD|ADI 位DAC,2023-03-31 08:31:16,"<正>各国政府都投入大量资金用于医疗保健研究和体系建设,以保障人民大众的福祉,确保他们的身心健康。要求做到积极预防疾病,而不是被动应对,以及正确诊断一些病况。在这种形势下,医学成像系统正在发挥着重要作用。借助图像,医生可以更细致地观察病人,无需通过手术就能了解疾病状况。此外,在开始手术之前,图像还能帮助外科医生研究病例。",2011-07-15,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=0&CurRec=13&recid=&FileName=DZSJ201107021&DbName=CJFD2011&DbCode=CJFD&yx=&pr=&URLID=
乐凯医疗：数字医疗成像系统 疫情防控的“火眼金睛”,张艳忠,乐凯医疗科技有限公司,,2023-03-31 08:37:35,"<正>新冠肺炎疫情在武汉爆发及向全国蔓延初期,核酸检测结果呈阳性是判定确诊的金标准,但是据一线医院检验科室反映,核酸检测中也出现了一些不确定的相关因素:一是部分患者短期内感染新型冠状病毒(COVID-19)后,可能暂未形成抗体,或者由于个体差异,部分人对核酸反应不敏感,检测结果可能会出现假阴性;二是核酸检测试验盒是否达到100%的敏感度尚有待确定;三是不同检测人员对咽拭子的标本采取操作存在差别,导致咽部",2020-04-15,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=0&CurRec=3&recid=&FileName=HTJM202004016&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=
基于微波成像技术的医疗服务原型系统设计与实现,白一帆,南京邮电大学,控制系统|三维重建|量化分析|信息共享,2023-03-31 08:37:51,"三维重建和斑块量化分析系统是利用三维重建可视化技术,在手术诊断时帮助医生或专家分析血管内斑块形状和性质的软件。随着医疗服务体系的发展,医学成像处理、图像三维重建和信息资源共享等功能已经无法满足现代医学的要求和标准。具体表现在三个方面:一是成像设备使用前不具备自检功能,无法保障设备诊断数据的可靠性;二是传统成像设备采集的图像分辨率低,以及仅通过分析二维图像无法满足对斑块量化分析的需求;三是设备资源利用率低,无法合理安排患者、专家和设备的统一预约工作。本文采用基于RS232串口通信开发的控制系统和LabVIEW开发的上位机软件抽样检测设备采集到的微波数据,增强原始数据的可靠性。采用血管内步进扫描成像技术得到的断层扫描图像为源数据,对每一幅断层扫描图像进行极坐标的变换,并增加断层扫描图像的像素密度,提高图像分辨率。通过改进Marching Cubes三维重建方法,对目标对象表面梯度进行灰度差分计算,提高三维重建精度。同时,在基于VC++文档开发的三维重建系统中引入斑块量化分析方法,随机均匀采样统计断层扫描图像中血管壁、管腔以及外部无效区域的灰度值个数,分析每一幅断层扫描图像的阻塞程度,满足对...",2017-10-26,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=0&CurRec=5&FileName=1017859917.nh&DbName=CMFD201801&DbCode=CMFD
采用ADI 20位DAC设计医疗成像系统,JanHeinBroeders,ADI公司,医疗成像系统|磁共振成像|AD|ADI 位DAC,2023-03-31 08:39:00,"<正>各国政府都投入大量资金用于医疗保健研究和体系建设,以保障人民大众的福祉,确保他们的身心健康。要求做到积极预防疾病,而不是被动应对,以及正确诊断一些病况。在这种形势下,医学成像系统正在发挥着重要作用。借助图像,医生可以更细致地观察病人,无需通过手术就能了解疾病状况。此外,在开始手术之前,图像还能帮助外科医生研究病例。",2011-07-15,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=0&CurRec=13&recid=&FileName=DZSJ201107021&DbName=CJFD2011&DbCode=CJFD&yx=&pr=&URLID=
乐凯医疗：数字医疗成像系统 疫情防控的“火眼金睛”,张艳忠,乐凯医疗科技有限公司,,2023-03-31 08:42:56,"<正>新冠肺炎疫情在武汉爆发及向全国蔓延初期,核酸检测结果呈阳性是判定确诊的金标准,但是据一线医院检验科室反映,核酸检测中也出现了一些不确定的相关因素:一是部分患者短期内感染新型冠状病毒(COVID-19)后,可能暂未形成抗体,或者由于个体差异,部分人对核酸反应不敏感,检测结果可能会出现假阴性;二是核酸检测试验盒是否达到100%的敏感度尚有待确定;三是不同检测人员对咽拭子的标本采取操作存在差别,导致咽部",2020-04-15,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=0&CurRec=3&recid=&FileName=HTJM202004016&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=
基于微波成像技术的医疗服务原型系统设计与实现,白一帆,南京邮电大学,控制系统|三维重建|量化分析|信息共享,2023-03-31 08:43:13,"三维重建和斑块量化分析系统是利用三维重建可视化技术,在手术诊断时帮助医生或专家分析血管内斑块形状和性质的软件。随着医疗服务体系的发展,医学成像处理、图像三维重建和信息资源共享等功能已经无法满足现代医学的要求和标准。具体表现在三个方面:一是成像设备使用前不具备自检功能,无法保障设备诊断数据的可靠性;二是传统成像设备采集的图像分辨率低,以及仅通过分析二维图像无法满足对斑块量化分析的需求;三是设备资源利用率低,无法合理安排患者、专家和设备的统一预约工作。本文采用基于RS232串口通信开发的控制系统和LabVIEW开发的上位机软件抽样检测设备采集到的微波数据,增强原始数据的可靠性。采用血管内步进扫描成像技术得到的断层扫描图像为源数据,对每一幅断层扫描图像进行极坐标的变换,并增加断层扫描图像的像素密度,提高图像分辨率。通过改进Marching Cubes三维重建方法,对目标对象表面梯度进行灰度差分计算,提高三维重建精度。同时,在基于VC++文档开发的三维重建系统中引入斑块量化分析方法,随机均匀采样统计断层扫描图像中血管壁、管腔以及外部无效区域的灰度值个数,分析每一幅断层扫描图像的阻塞程度,满足对...",2017-10-26,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=0&CurRec=5&FileName=1017859917.nh&DbName=CMFD201801&DbCode=CMFD
采用ADI 20位DAC设计医疗成像系统,JanHeinBroeders,ADI公司,医疗成像系统|磁共振成像|AD|ADI 位DAC,2023-03-31 08:44:24,"<正>各国政府都投入大量资金用于医疗保健研究和体系建设,以保障人民大众的福祉,确保他们的身心健康。要求做到积极预防疾病,而不是被动应对,以及正确诊断一些病况。在这种形势下,医学成像系统正在发挥着重要作用。借助图像,医生可以更细致地观察病人,无需通过手术就能了解疾病状况。此外,在开始手术之前,图像还能帮助外科医生研究病例。",2011-07-15,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=0&CurRec=13&recid=&FileName=DZSJ201107021&DbName=CJFD2011&DbCode=CJFD&yx=&pr=&URLID=
乐凯医疗：数字医疗成像系统 疫情防控的“火眼金睛”,张艳忠,乐凯医疗科技有限公司,,2023-03-31 09:06:42,"<正>新冠肺炎疫情在武汉爆发及向全国蔓延初期,核酸检测结果呈阳性是判定确诊的金标准,但是据一线医院检验科室反映,核酸检测中也出现了一些不确定的相关因素:一是部分患者短期内感染新型冠状病毒(COVID-19)后,可能暂未形成抗体,或者由于个体差异,部分人对核酸反应不敏感,检测结果可能会出现假阴性;二是核酸检测试验盒是否达到100%的敏感度尚有待确定;三是不同检测人员对咽拭子的标本采取操作存在差别,导致咽部",2020-04-15,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=0&CurRec=3&recid=&FileName=HTJM202004016&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=
